# Synthetic drone deployment for simulation ONLY (not real-world defense layout)
SecurizationMission,Protection Brest
48.2829,-4.4645,150
48.2835,-4.4682,160
48.2818,-4.4598,155
48.2852,-4.4621,150
48.2844,-4.4559,145
48.2860,-4.4575,150
48.2830,-4.4725,170
48.2812,-4.4689,165
48.2871,-4.4652,155
48.2799,-4.4615,160
48.2858,-4.4512,140
48.2884,-4.4588,145
48.2807,-4.4550,150
48.2821,-4.4504,145
48.2869,-4.4710,165
48.4700,-5.0600,200
48.4500,-5.1000,200
48.4300,-5.1400,210
48.4100,-5.1800,210
48.3900,-5.2100,220
48.3600,-5.2300,220
48.3300,-5.2400,230
48.3000,-5.2500,230
48.2700,-5.2400,220
48.2400,-5.2300,215
48.4000,-4.8000,180
48.4200,-4.7600,180
48.4400,-4.7200,185
48.4600,-4.6800,185
48.4800,-4.6400,190
