# Synthetic drone deployment for simulation ONLY (not real-world defense layout)
# Columns: clusterId,droneId,latitude,longitude,altitude(m)
clusterId,droneId,latitude,longitude,altitude
10,D001,48.2829,-4.4645,150
10,D002,48.2835,-4.4682,160
10,D003,48.2818,-4.4598,155
10,D004,48.2852,-4.4621,150
10,D005,48.2844,-4.4559,145
10,D006,48.2860,-4.4575,150
10,D007,48.2830,-4.4725,170
10,D008,48.2812,-4.4689,165
10,D009,48.2871,-4.4652,155
10,D010,48.2799,-4.4615,160
10,D011,48.2858,-4.4512,140
10,D012,48.2884,-4.4588,145
10,D013,48.2807,-4.4550,150
10,D014,48.2821,-4.4504,145
10,D015,48.2869,-4.4710,165
20,D016,48.4700,-5.0600,200
20,D017,48.4500,-5.1000,200
20,D018,48.4300,-5.1400,210
20,D019,48.4100,-5.1800,210
20,D020,48.3900,-5.2100,220
20,D021,48.3600,-5.2300,220
20,D022,48.3300,-5.2400,230
20,D023,48.3000,-5.2500,230
20,D024,48.2700,-5.2400,220
20,D025,48.2400,-5.2300,215
30,D026,48.4000,-4.8000,180
30,D027,48.4200,-4.7600,180
30,D028,48.4400,-4.7200,185
30,D029,48.4600,-4.6800,185
30,D030,48.4800,-4.6400,190
